read_cycles,process_cycles,idle,gemmw,gemm,wstall,inputbuf_p,weightbuf_p,gmacs,gouts
9217,0,0,0,0,0,0,8192,0,0
93,0,0,0,0,0,64,0,0,0
1,199397,917,198144,0,90447,0,0,131072,131072
9217,0,0,0,0,0,0,8192,0,0
93,0,0,0,0,0,64,0,0,0
1,199397,917,198144,0,90447,0,0,131072,131072
9217,0,0,0,0,0,0,8192,0,0
93,0,0,0,0,0,64,0,0,0
1,199397,917,198144,0,90447,0,0,131072,131072
577,0,0,0,0,0,0,512,0,0
93,0,0,0,0,0,64,0,0,0
1,12677,437,12384,0,5487,0,0,8192,8192
9217,0,0,0,0,0,0,8192,0,0
181,0,0,0,0,0,128,0,0,0
1,398567,1431,396288,0,181071,0,0,262144,262144
9217,0,0,0,0,0,0,8192,0,0
181,0,0,0,0,0,128,0,0,0
1,398567,1431,396288,0,181071,0,0,262144,262144
9217,0,0,0,0,0,0,8192,0,0
181,0,0,0,0,0,128,0,0,0
1,398567,1431,396288,0,181071,0,0,262144,262144
577,0,0,0,0,0,0,512,0,0
181,0,0,0,0,0,128,0,0,0
1,25127,471,24768,0,11151,0,0,16384,16384
8705,0,0,0,0,0,0,8192,0,0
613,0,0,0,0,0,512,0,0,0
1,398662,1430,396288,0,82863,0,0,262144,262144
4625,0,0,0,0,0,0,4352,0,0
613,0,0,0,0,0,512,0,0,0
1,211942,950,210528,0,43983,0,0,139264,139264
8449,0,0,0,0,0,0,8192,0,0
1125,0,0,0,0,0,1024,0,0,0
1,256917,917,198144,0,0,0,0,131072,131072
8449,0,0,0,0,0,0,8192,0,0
1125,0,0,0,0,0,1024,0,0,0
1,256917,917,198144,0,0,0,0,131072,131072
8449,0,0,0,0,0,0,8192,0,0
1125,0,0,0,0,0,1024,0,0,0
1,256917,917,198144,0,0,0,0,131072,131072
529,0,0,0,0,0,0,512,0,0
1125,0,0,0,0,0,1024,0,0,0
1,16437,437,12384,0,0,0,0,8192,8192
6469,0,0,0,0,0,0,6272,0,0
2245,0,0,0,0,0,2048,0,0,0
1,393187,1187,303408,0,0,0,0,200704,200704
8321,0,0,0,0,0,0,8192,0,0
4293,0,0,0,0,0,4096,0,0,0
1,453527,919,198144,0,0,0,0,131072,131072
4421,0,0,0,0,0,0,4352,0,0
4293,0,0,0,0,0,4096,0,0,0
1,241127,679,105264,0,0,0,0,69632,69632
3186,0,0,0,0,0,0,3136,0,0
4293,0,0,0,0,0,4096,0,0,0
1,184486,614,80496,0,0,0,0,53248,53248
4290,0,0,0,0,0,4096,0,0,0
1,184487,615,80496,0,0,0,0,53248,53248
6322,0,0,0,0,0,0,6272,0,0
4197,0,0,0,0,0,4096,0,0,0
1,172316,508,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
6322,0,0,0,0,0,0,6272,0,0
4197,0,0,0,0,0,4096,0,0,0
1,172316,508,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
6322,0,0,0,0,0,0,6272,0,0
4197,0,0,0,0,0,4096,0,0,0
1,172316,508,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
6322,0,0,0,0,0,0,6272,0,0
4197,0,0,0,0,0,4096,0,0,0
1,172316,508,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
6322,0,0,0,0,0,0,6272,0,0
4197,0,0,0,0,0,4096,0,0,0
1,172316,508,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
4194,0,0,0,0,0,4096,0,0,0
1,172317,509,40248,0,0,0,0,26624,26624
1678,0,0,0,0,0,0,1664,0,0
4197,0,0,0,0,0,4096,0,0,0
1,53301,437,12384,0,0,0,0,8192,8192
4194,0,0,0,0,0,4096,0,0,0
1,53302,438,12384,0,0,0,0,8192,8192
4194,0,0,0,0,0,4096,0,0,0
1,53302,438,12384,0,0,0,0,8192,8192
4194,0,0,0,0,0,4096,0,0,0
1,53302,438,12384,0,0,0,0,8192,8192
4194,0,0,0,0,0,4096,0,0,0
1,53302,438,12384,0,0,0,0,8192,8192
4194,0,0,0,0,0,4096,0,0,0
1,53302,438,12384,0,0,0,0,8192,8192
4194,0,0,0,0,0,4096,0,0,0
1,53302,438,12384,0,0,0,0,8192,8192
4194,0,0,0,0,0,4096,0,0,0
1,53302,438,12384,0,0,0,0,8192,8192
3342,0,0,0,0,0,0,3328,0,0
4149,0,0,0,0,0,4096,0,0,0
1,51431,423,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
4146,0,0,0,0,0,4096,0,0,0
1,51427,419,6192,0,0,0,0,4096,4096
