layer_name,layer_type,total_cycles,compute_cycles,memory_access_cycles,data_movement_cycles,compute_intensity,operation_weight,buffer_requirement,energy_cost,is_compute_intensive,is_memory_intensive,communication_cost,parallelization_factor,gmacs_per_cycle,compute_efficiency,memory_efficiency,total_gmacs,execution_cost_breakdown
layer_0,QUANTIZE,50000,30000,17500,15000,1.7142857142857142,50000.0,3072,100000,True,False,2500,0.5,0.05,60.0,80.0,2500,"{'compute_cost': 60000.0, 'memory_cost': 2048, 'communication_cost': 2500}"
layer_1,PAD,25000,15000,8750,7500,1.7142857142857142,25000.0,1536,50000,True,False,1250,0.5,0.02,60.0,80.0,500,"{'compute_cost': 30000.0, 'memory_cost': 1024, 'communication_cost': 1250}"
layer_2,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_3,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_4,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_5,PAD,25000,15000,8750,7500,1.7142857142857142,25000.0,1536,50000,True,False,1250,0.5,0.02,60.0,80.0,500,"{'compute_cost': 30000.0, 'memory_cost': 1024, 'communication_cost': 1250}"
layer_6,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_7,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
layer_8,DEPTHWISE_CONV_2D,1000000,600000,350000,300000,1.7142857142857142,1000000.0,49152,2000000,True,False,50000,0.5,0.075,60.0,80.0,75000,"{'compute_cost': 1200000.0, 'memory_cost': 32768, 'communication_cost': 50000}"
layer_9,CONV_2D,2500000,1500000,875000,750000,1.7142857142857142,2500000.0,98304,5000000,True,False,125000,0.5,0.08,60.0,80.0,200000,"{'compute_cost': 3000000.0, 'memory_cost': 65536, 'communication_cost': 125000}"
