layer_name,layer_type,total_cycles,compute_cycles,memory_access_cycles,data_movement_cycles,compute_intensity,operation_weight,buffer_requirement,energy_cost,is_compute_intensive,is_memory_intensive,communication_cost,parallelization_factor,gmacs_per_cycle,compute_efficiency,memory_efficiency,total_gmacs,execution_cost_breakdown
layer_0,QUANTIZE,100,60,35,30,1.7142857142857142,100.0,96,150,True,False,5,0.5,0.05,60.0,80.0,5,"{'compute_cost': 120.0, 'memory_cost': 64, 'communication_cost': 5}"
layer_1,PAD,50,30,17,15,1.7647058823529411,50.0,48,75,True,False,2,0.5,0.02,60.0,80.0,1,"{'compute_cost': 60.0, 'memory_cost': 32, 'communication_cost': 2}"
layer_2,CONV_2D,642660,610868,305432,28604,2.00001309620472,642660.0,8256,1251934,True,False,2860,0.5,0.6571108651950994,95.05306071639748,9.365095995180598,401408,"{'compute_cost': 1221736.0, 'memory_cost': 8256, 'communication_cost': 2860}"
layer_3,DEPTHWISE_CONV_2D,1254548,1220828,583320,28956,2.0928958376191455,1254548.0,8320,2472994,True,False,2895,0.5,0.6575995963395335,97.31217936659259,4.963999177124048,802816,"{'compute_cost': 2441656.0, 'memory_cost': 8320, 'communication_cost': 2895}"
layer_4,CONV_2D,1162360,1124438,160554,33708,7.003487923066382,1162360.0,9216,2284691,True,False,3370,0.5,0.5901187971235409,96.73749956984067,20.994805486004708,663552,"{'compute_cost': 2248876.0, 'memory_cost': 9216, 'communication_cost': 3370}"
layer_5,PAD,50,30,17,15,1.7647058823529411,50.0,48,75,True,False,2,0.5,0.02,60.0,80.0,1,"{'compute_cost': 60.0, 'memory_cost': 32, 'communication_cost': 2}"
layer_6,DEPTHWISE_CONV_2D,1156088,1120068,32560,32560,34.40012285012285,1156088.0,12288,2274426,True,False,3256,0.5,0.4205458954277776,96.88432022475799,100.0,471040,"{'compute_cost': 2240136.0, 'memory_cost': 12288, 'communication_cost': 3256}"
layer_7,CONV_2D,820032,782416,35200,35200,22.22772727272727,820032.0,10368,1601240,True,False,3520,0.5,0.25913580499376293,95.41286193709514,100.0,202752,"{'compute_cost': 1564832.0, 'memory_cost': 10368, 'communication_cost': 3520}"
layer_8,DEPTHWISE_CONV_2D,1064255,1033901,27301,27301,37.87044430606937,1064255.0,10368,2096629,True,False,2730,0.5,0.15450608907429242,97.1478639987597,100.0,159744,"{'compute_cost': 2067802.0, 'memory_cost': 10368, 'communication_cost': 2730}"
layer_9,CONV_2D,897750,861584,33622,33622,25.625602284218665,897750.0,10368,1758062,True,False,3362,0.5,0.15450611896228342,95.97148426622111,100.0,133120,"{'compute_cost': 1723168.0, 'memory_cost': 10368, 'communication_cost': 3362}"
layer_10,PAD,50,30,17,15,1.7647058823529411,50.0,48,75,True,False,2,0.5,0.02,60.0,80.0,1,"{'compute_cost': 60.0, 'memory_cost': 32, 'communication_cost': 2}"
layer_11,DEPTHWISE_CONV_2D,895623,861583,31497,31497,27.354446455217957,895623.0,10368,1755934,True,False,3149,0.5,0.1545062982904723,96.19929367602217,100.0,133120,"{'compute_cost': 1723166.0, 'memory_cost': 10368, 'communication_cost': 3149}"
layer_12,CONV_2D,702353,676856,22657,22657,29.87403451471951,702353.0,5760,1377789,True,False,2265,0.5,0.15431347288049452,96.36977417338575,100.0,104448,"{'compute_cost': 1353712.0, 'memory_cost': 5760, 'communication_cost': 2265}"
